epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,294.083,1.38904,1.53734,1.24106,0.87561,0.7149,0.80627,0.49196,1.28492,0.92656,1.09457,0.00332935,0.00332935,0.00332935
2,656.786,1.29717,0.96659,1.11918,0.86791,0.71978,0.80459,0.49699,1.29285,0.8736,1.12569,0.00653076,0.00653076,0.00653076
3,991.732,1.32212,0.9256,1.13755,0.86911,0.70723,0.79111,0.48127,1.32001,0.8983,1.14817,0.00960018,0.00960018,0.00960018
4,1232.11,1.32946,0.90454,1.14702,0.86808,0.70968,0.79245,0.49973,1.30725,0.79634,1.15426,0.009406,0.009406,0.009406
5,1469.3,1.30323,0.85577,1.13903,0.88637,0.71444,0.8002,0.5033,1.29188,0.77517,1.14354,0.009208,0.009208,0.009208
6,1698.84,1.28168,0.81484,1.12898,0.89368,0.73698,0.82634,0.52765,1.27129,0.71219,1.12922,0.00901,0.00901,0.00901
7,1928.69,1.26451,0.78858,1.11393,0.88866,0.75641,0.83712,0.53986,1.23573,0.68931,1.10416,0.008812,0.008812,0.008812
8,2161.33,1.24246,0.768,1.109,0.89231,0.7571,0.83788,0.54156,1.22375,0.67002,1.1043,0.008614,0.008614,0.008614
9,2394.04,1.23676,0.75562,1.10485,0.88399,0.77075,0.84675,0.54914,1.21781,0.65351,1.09616,0.008416,0.008416,0.008416
10,2603.26,1.22888,0.73463,1.10397,0.8927,0.76418,0.84506,0.55079,1.21916,0.64963,1.09822,0.008218,0.008218,0.008218
11,2800.69,1.21955,0.72585,1.09699,0.88775,0.77942,0.85447,0.55327,1.21139,0.6271,1.08983,0.00802,0.00802,0.00802
12,3003.15,1.21419,0.71158,1.09213,0.89154,0.77655,0.85327,0.5533,1.20507,0.63115,1.09095,0.007822,0.007822,0.007822
13,3202.94,1.20509,0.70832,1.08908,0.87453,0.78504,0.85428,0.55925,1.20213,0.63646,1.09165,0.007624,0.007624,0.007624
14,3467.13,1.20198,0.70003,1.08635,0.89724,0.77668,0.8592,0.56498,1.19403,0.61115,1.08229,0.007426,0.007426,0.007426
15,3754.98,1.19439,0.68955,1.082,0.88448,0.79066,0.86146,0.5645,1.18937,0.6036,1.0827,0.007228,0.007228,0.007228
16,3982.11,1.19177,0.68744,1.08061,0.89513,0.77988,0.86114,0.56687,1.18679,0.60005,1.07827,0.00703,0.00703,0.00703
17,4130.39,1.19493,0.67947,1.08317,0.88836,0.79338,0.86484,0.57034,1.18343,0.58681,1.07626,0.006832,0.006832,0.006832
18,4278.16,1.18323,0.67312,1.07754,0.89102,0.79173,0.86661,0.57074,1.18234,0.58719,1.07633,0.006634,0.006634,0.006634
19,4425,1.18144,0.66645,1.0748,0.89375,0.7939,0.86802,0.57473,1.16835,0.5799,1.06758,0.006436,0.006436,0.006436
20,4573.13,1.17071,0.66005,1.07345,0.89653,0.79674,0.87057,0.57633,1.16896,0.57369,1.06977,0.006238,0.006238,0.006238
21,4720.36,1.17885,0.65909,1.07058,0.89805,0.79713,0.87211,0.57596,1.17341,0.57084,1.07068,0.00604,0.00604,0.00604
22,4867.44,1.16641,0.64732,1.06431,0.88868,0.79837,0.87305,0.57771,1.1722,0.57165,1.06444,0.005842,0.005842,0.005842
23,5014.05,1.16586,0.65021,1.0674,0.89182,0.80367,0.8752,0.58131,1.16395,0.56062,1.06403,0.005644,0.005644,0.005644
24,5161.64,1.16388,0.64236,1.06277,0.89523,0.80406,0.87569,0.57993,1.16286,0.55875,1.06095,0.005446,0.005446,0.005446
25,5309.81,1.16064,0.63327,1.0601,0.89625,0.80047,0.87611,0.58048,1.1599,0.55321,1.05902,0.005248,0.005248,0.005248
26,5457.41,1.15162,0.62794,1.05756,0.89637,0.80791,0.87865,0.584,1.15858,0.54579,1.05647,0.00505,0.00505,0.00505
27,5605.3,1.15038,0.62941,1.05827,0.89447,0.80212,0.8771,0.58277,1.15698,0.55097,1.05573,0.004852,0.004852,0.004852
28,5752.77,1.14397,0.61941,1.05504,0.90068,0.80041,0.87925,0.58395,1.15804,0.54175,1.05913,0.004654,0.004654,0.004654
29,5900.7,1.13993,0.61394,1.05156,0.88825,0.80687,0.88078,0.5865,1.15595,0.53897,1.05329,0.004456,0.004456,0.004456
30,6048.58,1.14734,0.61494,1.05434,0.88873,0.81387,0.88007,0.58763,1.15366,0.53707,1.05807,0.004258,0.004258,0.004258
31,6196.74,1.13728,0.60849,1.04871,0.89539,0.8092,0.88204,0.5895,1.15083,0.53563,1.05061,0.00406,0.00406,0.00406
32,6344.49,1.1349,0.605,1.05102,0.89066,0.81425,0.88213,0.58896,1.14915,0.53447,1.05596,0.003862,0.003862,0.003862
33,6492.09,1.13924,0.59951,1.04959,0.89311,0.81221,0.88292,0.58904,1.14851,0.53128,1.05674,0.003664,0.003664,0.003664
34,6640.11,1.13286,0.59942,1.04732,0.89171,0.81231,0.88224,0.59011,1.14513,0.52912,1.04946,0.003466,0.003466,0.003466
35,6787.39,1.12425,0.59078,1.04533,0.89015,0.8112,0.88261,0.58992,1.14728,0.52739,1.05204,0.003268,0.003268,0.003268
36,6934.81,1.11992,0.58183,1.0435,0.89606,0.8094,0.88266,0.59178,1.14578,0.52761,1.05259,0.00307,0.00307,0.00307
37,7082.6,1.1219,0.58813,1.04795,0.89641,0.8095,0.8837,0.59103,1.14776,0.52647,1.05725,0.002872,0.002872,0.002872
38,7230.25,1.11803,0.57997,1.04325,0.89332,0.81794,0.88532,0.59325,1.1444,0.52407,1.05301,0.002674,0.002674,0.002674
39,7376.8,1.11608,0.57369,1.04151,0.89978,0.81421,0.88562,0.59241,1.14389,0.51988,1.05173,0.002476,0.002476,0.002476
40,7524.25,1.10438,0.56698,1.03586,0.89598,0.81154,0.88495,0.5923,1.14345,0.51941,1.04819,0.002278,0.002278,0.002278
41,7707.35,1.10215,0.53615,1.03391,0.89,0.81778,0.88504,0.5923,1.14502,0.52157,1.05172,0.00208,0.00208,0.00208
42,7852.82,1.09863,0.53144,1.02728,0.89849,0.80787,0.88389,0.59265,1.1438,0.52042,1.04745,0.001882,0.001882,0.001882
43,7998.4,1.09127,0.52201,1.02572,0.89372,0.81115,0.88441,0.59219,1.14294,0.52004,1.04805,0.001684,0.001684,0.001684
44,8144.32,1.08868,0.51403,1.02449,0.89559,0.80988,0.88336,0.59273,1.14175,0.52121,1.0477,0.001486,0.001486,0.001486
45,8290.34,1.08299,0.51016,1.02018,0.89127,0.81474,0.88457,0.59359,1.14051,0.519,1.04557,0.001288,0.001288,0.001288
46,8435.99,1.07938,0.50269,1.01955,0.89691,0.81093,0.88374,0.59269,1.14067,0.52056,1.04695,0.00109,0.00109,0.00109
47,8581.4,1.07758,0.49655,1.01828,0.89789,0.80939,0.8832,0.59248,1.14095,0.52209,1.04684,0.000892,0.000892,0.000892
48,8727.19,1.07034,0.49038,1.01624,0.89801,0.81129,0.88348,0.59269,1.14105,0.52344,1.0471,0.000694,0.000694,0.000694
49,8873.33,1.06506,0.48691,1.01199,0.90074,0.80799,0.88381,0.59377,1.14067,0.52229,1.04717,0.000496,0.000496,0.000496
50,9019.49,1.06067,0.48059,1.01103,0.89956,0.80875,0.88458,0.59415,1.14092,0.52062,1.0463,0.000298,0.000298,0.000298
